country,year,population
Costa Rica,Y2010,4669685
Costa Rica,Y2011,4737680
Costa Rica,Y2012,4805295
Costa Rica,Y2013,4872166
Côte d'Ivoire,Y1995,14217430
Côte d'Ivoire,Y1996,14632391
Côte d'Ivoire,Y1997,15042149
Côte d'Ivoire,Y1998,15436470
Côte d'Ivoire,Y1999,15802248
Côte d'Ivoire,Y2000,16131332
Côte d'Ivoire,Y2001,16420173
Côte d'Ivoire,Y2002,16674987
Côte d'Ivoire,Y2003,16909801
Côte d'Ivoire,Y2004,17144325
Côte d'Ivoire,Y2005,17393994
Côte d'Ivoire,Y2006,17662417
Côte d'Ivoire,Y2007,17949061
Côte d'Ivoire,Y2008,18260044
Côte d'Ivoire,Y2009,18601342
Côte d'Ivoire,Y2010,18976588
Côte d'Ivoire,Y2011,19389954
Côte d'Ivoire,Y2012,19839750
Côte d'Ivoire,Y2013,20316086
Croatia,Y1995,4690192
Croatia,Y1996,4647843
Croatia,Y1997,4601596
Croatia,Y1998,4554877
Croatia,Y1999,4511766
Croatia,Y2000,4475201
Croatia,Y2001,4446789
Croatia,Y2002,4426098
Croatia,Y2003,4411370
Croatia,Y2004,4399706
Croatia,Y2005,4388857
Croatia,Y2006,4378601
Croatia,Y2007,4369337
Croatia,Y2008,4360126
Croatia,Y2009,4349930
Croatia,Y2010,4338027
Croatia,Y2011,4323822
Croatia,Y2012,4307422
Croatia,Y2013,4289714
Cuba,Y1995,10932013
Cuba,Y1996,10980758
Cuba,Y1997,11024249
Cuba,Y1998,11063917
Cuba,Y1999,11101580
Cuba,Y2000,11138416
Cuba,Y2001,11175465
Cuba,Y2002,11212125
Cuba,Y2003,11245926
Cuba,Y2004,11273363
Cuba,Y2005,11292078
Cuba,Y2006,11301100
Cuba,Y2007,11301674
Cuba,Y2008,11296355
Cuba,Y2009,11288826
Cuba,Y2010,11281768
Cuba,Y2011,11276053
Cuba,Y2012,11270957
Cuba,Y2013,11265629
Curaçao,Y2010,147560
Curaçao,Y2011,151523
Curaçao,Y2012,155293
Curaçao,Y2013,158760
Cyprus,Y1995,855389
Cyprus,Y1996,873246
Cyprus,Y1997,890733
Cyprus,Y1998,908040
Cyprus,Y1999,925491
Cyprus,Y2000,943287
Cyprus,Y2001,961481
Cyprus,Y2002,979877
Cyprus,Y2003,998142
Cyprus,Y2004,1015820
Cyprus,Y2005,1032586
Cyprus,Y2006,1048314
Cyprus,Y2007,1063095
Cyprus,Y2008,1077089
Cyprus,Y2009,1090553
Cyprus,Y2010,1103685
Cyprus,Y2011,1116513
Cyprus,Y2012,1128994
Cyprus,Y2013,1141166
Czech Republic,Y1995,10339223
Czech Republic,Y1996,10327823
Czech Republic,Y1997,10311228
Czech Republic,Y1998,10291153
Czech Republic,Y1999,10270096
Czech Republic,Y2000,10250398
Czech Republic,Y2001,10231435
Czech Republic,Y2002,10214070
Czech Republic,Y2003,10203846
Czech Republic,Y2004,10207862
Czech Republic,Y2005,10230683
Czech Republic,Y2006,10274906
Czech Republic,Y2007,10337782
Czech Republic,Y2008,10411836
Czech Republic,Y2009,10486434
Czech Republic,Y2010,10553701
Czech Republic,Y2011,10611037
Czech Republic,Y2012,10660051
Czech Republic,Y2013,10702197
Democratic People's Republic of Korea,Y1995,21763678
Democratic People's Republic of Korea,Y1996,22016518
Democratic People's Republic of Korea,Y1997,22240833
Democratic People's Republic of Korea,Y1998,22444993
Democratic People's Republic of Korea,Y1999,22641754
Democratic People's Republic of Korea,Y2000,22840225
Democratic People's Republic of Korea,Y2001,23043449
Democratic People's Republic of Korea,Y2002,23248059
Democratic People's Republic of Korea,Y2003,23449180
Democratic People's Republic of Korea,Y2004,23639303
Democratic People's Republic of Korea,Y2005,23813333
Democratic People's Republic of Korea,Y2006,23969917
Democratic People's Republic of Korea,Y2007,24111989
Democratic People's Republic of Korea,Y2008,24243894
Democratic People's Republic of Korea,Y2009,24371865
Democratic People's Republic of Korea,Y2010,24500520
Democratic People's Republic of Korea,Y2011,24631291
Democratic People's Republic of Korea,Y2012,24763188
Democratic People's Republic of Korea,Y2013,24895480
Democratic Republic of the Congo,Y1995,42012524
Democratic Republic of the Congo,Y1996,43122601
Democratic Republic of the Congo,Y1997,44078397
Democratic Republic of the Congo,Y1998,44960941
Democratic Republic of the Congo,Y1999,45889100
Democratic Republic of the Congo,Y2000,46949244
Democratic Republic of the Congo,Y2001,48167045
Democratic Republic of the Congo,Y2002,49516960
Democratic Republic of the Congo,Y2003,50972323
Democratic Republic of the Congo,Y2004,52487293
Democratic Republic of the Congo,Y2005,54028003
Democratic Republic of the Congo,Y2006,55590838
Democratic Republic of the Congo,Y2007,57187942
Democratic Republic of the Congo,Y2008,58819038
Democratic Republic of the Congo,Y2009,60486276
Democratic Republic of the Congo,Y2010,62191161
Democratic Republic of the Congo,Y2011,63931512
Democratic Republic of the Congo,Y2012,65705093
Democratic Republic of the Congo,Y2013,67513677
Denmark,Y1995,5232582
Denmark,Y1996,5254383
Denmark,Y1997,5276683
Denmark,Y1998,5298680
Denmark,Y1999,5319410
Denmark,Y2000,5338283
Denmark,Y2001,5354684
Denmark,Y2002,5368994
Denmark,Y2003,5382853
Denmark,Y2004,5398558
Denmark,Y2005,5417692
Denmark,Y2006,5440923
Denmark,Y2007,5467551
Denmark,Y2008,5496104
Denmark,Y2009,5524427
Denmark,Y2010,5550959
Denmark,Y2011,5575237
Denmark,Y2012,5597760
Denmark,Y2013,5619096
Djibouti,Y1995,663999
Djibouti,Y1996,675891
Djibouti,Y1997,687897
Djibouti,Y1998,699922
Djibouti,Y1999,711652
Djibouti,Y2000,722887
Djibouti,Y2001,733732
Djibouti,Y2002,744434
Djibouti,Y2003,755085
Djibouti,Y2004,765776
Djibouti,Y2005,776585
Djibouti,Y2006,787544
Djibouti,Y2007,798690
Djibouti,Y2008,810100
Djibouti,Y2009,821865
Djibouti,Y2010,834036
Djibouti,Y2011,846646
Djibouti,Y2012,859652
Djibouti,Y2013,872932
Dominica,Y1995,71367
Dominica,Y1996,71146
Dominica,Y1997,70756
Dominica,Y1998,70295
Dominica,Y1999,69902
Dominica,Y2000,69679
Dominica,Y2001,69660
Dominica,Y2002,69806
Dominica,Y2003,70058
Dominica,Y2004,70325
Dominica,Y2005,70542
Dominica,Y2006,70690
Dominica,Y2007,70795
Dominica,Y2008,70883
Dominica,Y2009,70996
Dominica,Y2010,71167
Dominica,Y2011,71401
Dominica,Y2012,71684
Dominica,Y2013,72003
Dominican Republic,Y1995,7977966
Dominican Republic,Y1996,8118570
Dominican Republic,Y1997,8256496
Dominican Republic,Y1998,8392534
Dominican Republic,Y1999,8527881
Dominican Republic,Y2000,8663421
Dominican Republic,Y2001,8799298
Dominican Republic,Y2002,8935261
Dominican Republic,Y2003,9071318
Dominican Republic,Y2004,9207389
Dominican Republic,Y2005,9343362
Dominican Republic,Y2006,9479269
Dominican Republic,Y2007,9615015
Dominican Republic,Y2008,9750195
Dominican Republic,Y2009,9884265
Dominican Republic,Y2010,10016797
Dominican Republic,Y2011,10147598
Dominican Republic,Y2012,10276621
Dominican Republic,Y2013,10403761
Ecuador,Y1995,11315800
Ecuador,Y1996,11557151
Ecuador,Y1997,11799289
Ecuador,Y1998,12042454
Ecuador,Y1999,12286995
Ecuador,Y2000,12533087
Ecuador,Y2001,12780869
Ecuador,Y2002,13030041
Ecuador,Y2003,13279806
Ecuador,Y2004,13529091
Ecuador,Y2005,13777131
Ecuador,Y2006,14023503
Ecuador,Y2007,14268397
Ecuador,Y2008,14512402
Ecuador,Y2009,14756424
Ecuador,Y2010,15001072
Ecuador,Y2011,15246481
Ecuador,Y2012,15492264
Ecuador,Y2013,15737878
Egypt,Y1995,61168397
Egypt,Y1996,62123592
Egypt,Y1997,63094069
Egypt,Y1998,64084443
Egypt,Y1999,65097777
Egypt,Y2000,66136590
Egypt,Y2001,67204189
Egypt,Y2002,68302914
Egypt,Y2003,69432477
Egypt,Y2004,70591288
Egypt,Y2005,71777678
Egypt,Y2006,72990754
Egypt,Y2007,74229577
Egypt,Y2008,75491922
Egypt,Y2009,76775023
Egypt,Y2010,78075705
Egypt,Y2011,79392466
Egypt,Y2012,80721874
Egypt,Y2013,82056378
El Salvador,Y1995,5748013
El Salvador,Y1996,5806750
El Salvador,Y1997,5855226
El Salvador,Y1998,5895018
El Salvador,Y1999,5928809
El Salvador,Y2000,5958794
El Salvador,Y2001,5985299
El Salvador,Y2002,6008308
El Salvador,Y2003,6029366
El Salvador,Y2004,6050297
El Salvador,Y2005,6072538
El Salvador,Y2006,6096692
El Salvador,Y2007,6122952
El Salvador,Y2008,6151776
El Salvador,Y2009,6183484
El Salvador,Y2010,6218195
El Salvador,Y2011,6256242
El Salvador,Y2012,6297394
El Salvador,Y2013,6340454
Equatorial Guinea,Y1995,441829
Equatorial Guinea,Y1996,456389
Equatorial Guinea,Y1997,471288
Equatorial Guinea,Y1998,486542
Equatorial Guinea,Y1999,502169
Equatorial Guinea,Y2000,518179
Equatorial Guinea,Y2001,534592
Equatorial Guinea,Y2002,551399
Equatorial Guinea,Y2003,568552
Equatorial Guinea,Y2004,585983
Equatorial Guinea,Y2005,603648
Equatorial Guinea,Y2006,621517
Equatorial Guinea,Y2007,639618
Equatorial Guinea,Y2008,658025
Equatorial Guinea,Y2009,676851
Equatorial Guinea,Y2010,696167
Equatorial Guinea,Y2011,715996
Equatorial Guinea,Y2012,736296
Equatorial Guinea,Y2013,757014
Eritrea,Y1995,3407812
Eritrea,Y1996,3473399
Eritrea,Y1997,3560353
Eritrea,Y1998,3668350
Eritrea,Y1999,3795384
Eritrea,Y2000,3939348
Eritrea,Y2001,4101609
Eritrea,Y2002,4281576
Eritrea,Y2003,4472533
Eritrea,Y2004,4665522
Eritrea,Y2005,4854066
Eritrea,Y2006,5035036
Eritrea,Y2007,5209846
Eritrea,Y2008,5382163
Eritrea,Y2009,5557889
Eritrea,Y2010,5741159
Eritrea,Y2011,5932852
Eritrea,Y2012,6130922
Eritrea,Y2013,6333135
Estonia,Y1995,1433076
Estonia,Y1996,1412522
Estonia,Y1997,1397071
Estonia,Y1998,1385531
Estonia,Y1999,1375744
Estonia,Y2000,1366117
Estonia,Y2001,1356549
Estonia,Y2002,1347674
Estonia,Y2003,1339453
Estonia,Y2004,1331928
Estonia,Y2005,1325112
Estonia,Y2006,1318893
Estonia,Y2007,1313138
Estonia,Y2008,1307827
Estonia,Y2009,1302965
Estonia,Y2010,1298533
Estonia,Y2011,1294498
Estonia,Y2012,1290778
Estonia,Y2013,1287251
Ethiopia,Y1995,57023519
Ethiopia,Y1996,58815116
Ethiopia,Y1997,60584273
Ethiopia,Y1998,62353942
Ethiopia,Y1999,64158887
Ethiopia,Y2000,66024199
Ethiopia,Y2001,67956866
Ethiopia,Y2002,69948344
Ethiopia,Y2003,71989666
Ethiopia,Y2004,74066147
Ethiopia,Y2005,76167240
Ethiopia,Y2006,78290649
Ethiopia,Y2007,80440708
Ethiopia,Y2008,82621190
Ethiopia,Y2009,84838032
Ethiopia,Y2010,87095281
Ethiopia,Y2011,89393063
Ethiopia,Y2012,91728849
Ethiopia,Y2013,94100756
Fiji,Y1995,775587
Fiji,Y1996,784647
Fiji,Y1997,793098
Fiji,Y1998,800616
Fiji,Y1999,806857
Fiji,Y2000,811647
Fiji,Y2001,814700
Fiji,Y2002,816237
Fiji,Y2003,817224
Fiji,Y2004,818995
Fiji,Y2005,822484
Fiji,Y2006,828060
Fiji,Y2007,835392
Fiji,Y2008,843851
Fiji,Y2009,852479
Fiji,Y2010,860559
Fiji,Y2011,867921
Fiji,Y2012,874742
Fiji,Y2013,881065
Finland,Y1995,5108176
Finland,Y1996,5126021
Finland,Y1997,5140755
Finland,Y1998,5153229
Finland,Y1999,5164780
Finland,Y2000,5176482
Finland,Y2001,5188330
Finland,Y2002,5200259
Finland,Y2003,5213213
Finland,Y2004,5228340
Finland,Y2005,5246368
Finland,Y2006,5267817
Finland,Y2007,5292261
Finland,Y2008,5318297
Finland,Y2009,5343927
Finland,Y2010,5367693
Finland,Y2011,5389084
Finland,Y2012,5408466
Finland,Y2013,5426323
France,Y1995,58008958
France,Y1996,58216225
France,Y1997,58418324
France,Y1998,58635564
France,Y1999,58894671
France,Y2000,59213096
France,Y2001,59600714
France,Y2002,60047743
France,Y2003,60527640
France,Y2004,61002537
France,Y2005,61444972
France,Y2006,61845239
France,Y2007,62210877
France,Y2008,62552614
France,Y2009,62888318
France,Y2010,63230866
France,Y2011,63582112
France,Y2012,63936575
France,Y2013,64291280
French Polynesia,Y1995,215200
French Polynesia,Y1996,219282
French Polynesia,Y1997,223734
French Polynesia,Y1998,228380
French Polynesia,Y1999,232956
French Polynesia,Y2000,237267
French Polynesia,Y2001,241276
French Polynesia,Y2002,245032
French Polynesia,Y2003,248536
French Polynesia,Y2004,251811
French Polynesia,Y2005,254884
French Polynesia,Y2006,257731
French Polynesia,Y2007,260361
French Polynesia,Y2008,262877
French Polynesia,Y2009,265412
French Polynesia,Y2010,268065
French Polynesia,Y2011,270874
French Polynesia,Y2012,273814
French Polynesia,Y2013,276831
Gabon,Y1995,1080477
Gabon,Y1996,1108698
Gabon,Y1997,1137412
Gabon,Y1998,1166525
Gabon,Y1999,1195919
Gabon,Y2000,1225527
Gabon,Y2001,1255299
Gabon,Y2002,1285318
Gabon,Y2003,1315820
Gabon,Y2004,1347125
Gabon,Y2005,1379465
Gabon,Y2006,1412907
Gabon,Y2007,1447388
Gabon,Y2008,1482843
Gabon,Y2009,1519155
Gabon,Y2010,1556222
Gabon,Y2011,1594034
Gabon,Y2012,1632572
Gabon,Y2013,1671711
Gambia,Y1995,1065746
Gambia,Y1996,1095930
Gambia,Y1997,1126986
Gambia,Y1998,1159271
Gambia,Y1999,1193143
Gambia,Y2000,1228863
Gambia,Y2001,1266691
Gambia,Y2002,1306667
Gambia,Y2003,1348548
Gambia,Y2004,1391934
Gambia,Y2005,1436549
Gambia,Y2006,1482324
Gambia,Y2007,1529406
Gambia,Y2008,1577984
Gambia,Y2009,1628332
Gambia,Y2010,1680640
Gambia,Y2011,1734966
Gambia,Y2012,1791225
Gambia,Y2013,1849285
Georgia,Y1995,5067143
Georgia,Y1996,4990097
Georgia,Y1997,4922489
Georgia,Y1998,4861848
Georgia,Y1999,4803312
Georgia,Y2000,4743591
Georgia,Y2001,4682290
Georgia,Y2002,4621837
Georgia,Y2003,4564938
Georgia,Y2004,4515280
Georgia,Y2005,4475306
Georgia,Y2006,4446032
Georgia,Y2007,4426077
Georgia,Y2008,4412502
Georgia,Y2009,4401093
Georgia,Y2010,4388674
Georgia,Y2011,4374226
Georgia,Y2012,4358242
Georgia,Y2013,4340895
Germany,Y1995,83147770
Germany,Y1996,83388930
Germany,Y1997,83490697
Germany,Y1998,83500716
Germany,Y1999,83490881
Germany,Y2000,83512459
Germany,Y2001,83583461
Germany,Y2002,83685160
Germany,Y2003,83788480
Germany,Y2004,83848844
Germany,Y2005,83835978
Germany,Y2006,83740302
Germany,Y2007,83578794
Germany,Y2008,83379538
Germany,Y2009,83182774
Germany,Y2010,83017404
Germany,Y2011,82892904
Germany,Y2012,82800121
Germany,Y2013,82726626
Ghana,Y1995,16760926
Ghana,Y1996,17169151
Ghana,Y1997,17568461
Ghana,Y1998,17968830
Ghana,Y1999,18384302
Ghana,Y2000,18825034
Ghana,Y2001,19293392
Ghana,Y2002,19786307
Ghana,Y2003,20301686
Ghana,Y2004,20835514
Ghana,Y2005,21384034
Ghana,Y2006,21947779
Ghana,Y2007,22525659
Ghana,Y2008,23110139
Ghana,Y2009,23691533
Ghana,Y2010,24262901
Ghana,Y2011,24820706
Ghana,Y2012,25366462
Ghana,Y2013,25904598
Greece,Y1995,10671809
Greece,Y1996,10758368
Greece,Y1997,10833632
Greece,Y1998,10896763
Greece,Y1999,10947724
Greece,Y2000,10986883
Greece,Y2001,11012931
Greece,Y2002,11026358
Greece,Y2003,11031728
Greece,Y2004,11035302
Greece,Y2005,11041642
Greece,Y2006,11052514
Greece,Y2007,11066884
Greece,Y2008,11083063
Greece,Y2009,11098149
Greece,Y2010,11109999
Greece,Y2011,11118556
Greece,Y2012,11124639
Greece,Y2013,11127990
Greenland,Y1995,55809
Greenland,Y1996,55832
Greenland,Y1997,55876
Greenland,Y1998,55948
Greenland,Y1999,56049
Greenland,Y2000,56174
Greenland,Y2001,56337
Greenland,Y2002,56534
Greenland,Y2003,56732
Greenland,Y2004,56881
Greenland,Y2005,56953
Greenland,Y2006,56925
Greenland,Y2007,56817
Greenland,Y2008,56675
Greenland,Y2009,56569
Greenland,Y2010,56546
Greenland,Y2011,56626
Greenland,Y2012,56787
Greenland,Y2013,56987
Grenada,Y1995,100253
Grenada,Y1996,100796
Grenada,Y1997,101125
Grenada,Y1998,101302
Grenada,Y1999,101441
Grenada,Y2000,101620
Grenada,Y2001,101849
Grenada,Y2002,102099
Grenada,Y2003,102369
Grenada,Y2004,102655
Grenada,Y2005,102951
Grenada,Y2006,103260
Grenada,Y2007,103586
Grenada,Y2008,103932
Grenada,Y2009,104296
Grenada,Y2010,104677
Grenada,Y2011,105074
Grenada,Y2012,105483
Grenada,Y2013,105897
Guam,Y1995,145562
Guam,Y1996,148060
Guam,Y1997,150306
Guam,Y1998,152275
Guam,Y1999,153951
Guam,Y2000,155328
Guam,Y2001,156417
Guam,Y2002,157241
Guam,Y2003,157823
Guam,Y2004,158194
Guam,Y2005,158401
Guam,Y2006,158429
Guam,Y2007,158331
Guam,Y2008,158310
Guam,Y2009,158621
Guam,Y2010,159440
Guam,Y2011,160858
Guam,Y2012,162810
Guam,Y2013,165124
Guatemala,Y1995,9983861
Guatemala,Y1996,10214623
Guatemala,Y1997,10449636
Guatemala,Y1998,10691090
Guatemala,Y1999,10941913
Guatemala,Y2000,11204183
Guatemala,Y2001,11478984
Guatemala,Y2002,11765738
Guatemala,Y2003,12062835
Guatemala,Y2004,12367800
Guatemala,Y2005,12678919
Guatemala,Y2006,12995374
Guatemala,Y2007,13317931
Guatemala,Y2008,13648307
Guatemala,Y2009,13988988
Guatemala,Y2010,14341576
Guatemala,Y2011,14706578
Guatemala,Y2012,15082831
Guatemala,Y2013,15468203
Guinea,Y1995,7837173
Guinea,Y1996,8094751
Guinea,Y1997,8296478
Guinea,Y1998,8457221
Guinea,Y1999,8600911
Guinea,Y2000,8746128
Guinea,Y2001,8895353
Guinea,Y2002,9045748
Guinea,Y2003,9204581
Guinea,Y2004,9379621
Guinea,Y2005,9576331
Guinea,Y2006,9798963
Guinea,Y2007,10046967
Guinea,Y2008,10314678
Guinea,Y2009,10593248
Guinea,Y2010,10876033
Guinea,Y2011,11161530
Guinea,Y2012,11451273
Guinea,Y2013,11745189
Guinea-Bissau,Y1995,1139667
Guinea-Bissau,Y1996,1165465
Guinea-Bissau,Y1997,1191672
Guinea-Bissau,Y1998,1218336
Guinea-Bissau,Y1999,1245530
Guinea-Bissau,Y2000,1273312
Guinea-Bissau,Y2001,1301748
Guinea-Bissau,Y2002,1330849
Guinea-Bissau,Y2003,1360559
Guinea-Bissau,Y2004,1390791
Guinea-Bissau,Y2005,1421515
Guinea-Bissau,Y2006,1452659
Guinea-Bissau,Y2007,1484337
Guinea-Bissau,Y2008,1516920
Guinea-Bissau,Y2009,1550905
Guinea-Bissau,Y2010,1586624
Guinea-Bissau,Y2011,1624228
Guinea-Bissau,Y2012,1663558
Guinea-Bissau,Y2013,1704255
Guyana,Y1995,728136
Guyana,Y1996,730865
Guyana,Y1997,734059
Guyana,Y1998,737526
Guyana,Y1999,741046
Guyana,Y2000,744471
Guyana,Y2001,747657
Guyana,Y2002,750629
Guyana,Y2003,753612
Guyana,Y2004,756939
Guyana,Y2005,760834
Guyana,Y2006,765367
Guyana,Y2007,770407
Guyana,Y2008,775739
Guyana,Y2009,781055
Guyana,Y2010,786126
Guyana,Y2011,790882
Guyana,Y2012,795369
Guyana,Y2013,799613
Haiti,Y1995,7838241
Haiti,Y1996,7986858
Haiti,Y1997,8136372
Haiti,Y1998,8285690
Haiti,Y1999,8433339
Haiti,Y2000,8578234
Haiti,Y2001,8720247
Haiti,Y2002,8859635
Haiti,Y2003,8996229
Haiti,Y2004,9129933
Haiti,Y2005,9260879
Haiti,Y2006,9388642
Haiti,Y2007,9513714
Haiti,Y2008,9638255
Haiti,Y2009,9765153
Haiti,Y2010,9896400
Haiti,Y2011,10032864
Haiti,Y2012,10173775
Haiti,Y2013,10317461
Honduras,Y1995,5591935
Honduras,Y1996,5723639
Honduras,Y1997,5852719
Honduras,Y1998,5980152
Honduras,Y1999,6107385
Honduras,Y2000,6235561
Honduras,Y2001,6365040
Honduras,Y2002,6495801
Honduras,Y2003,6628171
Honduras,Y2004,6762426
Honduras,Y2005,6898825
Honduras,Y2006,7037428
Honduras,Y2007,7178436
Honduras,Y2008,7322368
Honduras,Y2009,7469844
Honduras,Y2010,7621204
Honduras,Y2011,7776669
Honduras,Y2012,7935846
Honduras,Y2013,8097688
Hungary,Y1995,10351994
Hungary,Y1996,10334876
Hungary,Y1997,10311227
Hungary,Y1998,10282937
Hungary,Y1999,10253110
Hungary,Y2000,10224113
Hungary,Y2001,10196130
Hungary,Y2002,10168591
Hungary,Y2003,10142243
Hungary,Y2004,10117872
Hungary,Y2005,10095964
Hungary,Y2006,10077017
Hungary,Y2007,10060786
Hungary,Y2008,10046058
Hungary,Y2009,10031096
Hungary,Y2010,10014633
Hungary,Y2011,9996227
Hungary,Y2012,9976195
Hungary,Y2013,9954941
Iceland,Y1995,267454
Iceland,Y1996,270089
Iceland,Y1997,272798
Iceland,Y1998,275568
Iceland,Y1999,278376
Iceland,Y2000,281214
Iceland,Y2001,284056
Iceland,Y2002,286929
Iceland,Y2003,289925
Iceland,Y2004,293170
Iceland,Y2005,296745
Iceland,Y2006,300693
Iceland,Y2007,304957
Iceland,Y2008,309394
Iceland,Y2009,313804
Iceland,Y2010,318042
Iceland,Y2011,322052
Iceland,Y2012,325867
Iceland,Y2013,329535
India,Y1995,955804355
India,Y1996,973147577
India,Y1997,990460131
India,Y1998,1007746556
India,Y1999,1025014711
India,Y2000,1042261758
India,Y2001,1059500888
India,Y2002,1076705723
India,Y2003,1093786762
India,Y2004,1110626108
India,Y2005,1127143548
India,Y2006,1143289350
India,Y2007,1159095250
India,Y2008,1174662334
India,Y2009,1190138069
India,Y2010,1205624648
India,Y2011,1221156319
India,Y2012,1236686732
India,Y2013,1252139596
Indonesia,Y1995,194112556
Indonesia,Y1996,197097887
Indonesia,Y1997,200050444
Indonesia,Y1998,202990922
Indonesia,Y1999,205946831
Indonesia,Y2000,208938698
Indonesia,Y2001,211970371
Indonesia,Y2002,215038285
Indonesia,Y2003,218145617
Indonesia,Y2004,221293797
Indonesia,Y2005,224480901
Indonesia,Y2006,227709821
Indonesia,Y2007,230972808
Indonesia,Y2008,234243489
Indonesia,Y2009,237486894
Indonesia,Y2010,240676485
Indonesia,Y2011,243801639
Indonesia,Y2012,246864191
Indonesia,Y2013,249865631
Iran (Islamic Republic of),Y1995,60468352
Iran (Islamic Republic of),Y1996,61440887
Iran (Islamic Republic of),Y1997,62542531
Iran (Islamic Republic of),Y1998,63713397
Iran (Islamic Republic of),Y1999,64858754
Iran (Islamic Republic of),Y2000,65911052
Iran (Islamic Republic of),Y2001,66857624
Iran (Islamic Republic of),Y2002,67727274
Iran (Islamic Republic of),Y2003,68543171
Iran (Islamic Republic of),Y2004,69342126
Iran (Islamic Republic of),Y2005,70152384
Iran (Islamic Republic of),Y2006,70976584
Iran (Islamic Republic of),Y2007,71809219
Iran (Islamic Republic of),Y2008,72660887
Iran (Islamic Republic of),Y2009,73542954
Iran (Islamic Republic of),Y2010,74462314
Iran (Islamic Republic of),Y2011,75424285
Iran (Islamic Republic of),Y2012,76424443
Iran (Islamic Republic of),Y2013,77447168
Iraq,Y1995,20363138
Iraq,Y1996,21017108
Iraq,Y1997,21693597
Iraq,Y1998,22387179
Iraq,Y1999,23091408
Iraq,Y2000,23801156
Iraq,Y2001,24516842
Iraq,Y2002,25238267
Iraq,Y2003,25959531
Iraq,Y2004,26673536
Iraq,Y2005,27377045
Iraq,Y2006,28064095
Iraq,Y2007,28740630
Iraq,Y2008,29429829
Iraq,Y2009,30163199
Iraq,Y2010,30962380
Iraq,Y2011,31837015
Iraq,Y2012,32778030
Iraq,Y2013,33765232
Ireland,Y1995,3610918
Ireland,Y1996,3638411
Ireland,Y1997,3669799
Ireland,Y1998,3706616
Ireland,Y1999,3750879
Ireland,Y2000,3803741
Ireland,Y2001,3865839
Ireland,Y2002,3935875
Ireland,Y2003,4010652
Ireland,Y2004,4085790
Ireland,Y2005,4158002
Ireland,Y2006,4226104
Ireland,Y2007,4290537
Ireland,Y2008,4351657
Ireland,Y2009,4410422
Ireland,Y2010,4467561
Ireland,Y2011,4522844
Ireland,Y2012,4575890
Ireland,Y2013,4627173
Israel,Y1995,5331622
Israel,Y1996,5486219
Israel,Y1997,5630066
Israel,Y1998,5764197
Israel,Y1999,5891263
Israel,Y2000,6013711
Israel,Y2001,6129590
Israel,Y2002,6238958
Israel,Y2003,6348782
Israel,Y2004,6468354
Israel,Y2005,6603677
Israel,Y2006,6758761
Israel,Y2007,6930068
Israel,Y2008,7106828
Israel,Y2009,7273804
Israel,Y2010,7420368
Israel,Y2011,7542327
Israel,Y2012,7643905
Israel,Y2013,7733144
Italy,Y1995,56967071
Italy,Y1996,56937309
Italy,Y1997,56887127
Italy,Y1998,56850303
Italy,Y1999,56872736
Italy,Y2000,56986085
Italy,Y2001,57200233
Italy,Y2002,57501450
Italy,Y2003,57868021
Italy,Y2004,58267068
Italy,Y2005,58671855
Italy,Y2006,59078271
Italy,Y2007,59485505
Italy,Y2008,59873820
Italy,Y2009,60220314
Italy,Y2010,60508978
Italy,Y2011,60729316
Italy,Y2012,60884593
Italy,Y2013,60990277
Jamaica,Y1995,2462051
Jamaica,Y1996,2485230
Jamaica,Y1997,2509439
Jamaica,Y1998,2534127
Jamaica,Y1999,2558579
Jamaica,Y2000,2582219
Jamaica,Y2001,2604946
Jamaica,Y2002,2626716
Jamaica,Y2003,2647116
Jamaica,Y2004,2665680
Jamaica,Y2005,2682149
Jamaica,Y2006,2696227
Jamaica,Y2007,2708152
Jamaica,Y2008,2718862
Jamaica,Y2009,2729660
Jamaica,Y2010,2741485
Jamaica,Y2011,2754669
Jamaica,Y2012,2768941
Jamaica,Y2013,2783888
Japan,Y1995,124483305
Japan,Y1996,124794906
Japan,Y1997,125048712
Japan,Y1998,125266855
Japan,Y1999,125481436
Japan,Y2000,125714674
Japan,Y2001,125973930
Japan,Y2002,126249090
Japan,Y2003,126523597
Japan,Y2004,126772899
Japan,Y2005,126978754
Japan,Y2006,127136020
Japan,Y2007,127248855
Japan,Y2008,127319434
Japan,Y2009,127352872
Japan,Y2010,127352833
Japan,Y2011,127319206
Japan,Y2012,127249704
Japan,Y2013,127143577
Jordan,Y1995,4320158
Jordan,Y1996,4450852
Jordan,Y1997,4551911
Jordan,Y1998,4630762
Jordan,Y1999,4699278
Jordan,Y2000,4767476
Jordan,Y2001,4835108
Jordan,Y2002,4902974
Jordan,Y2003,4983508
Jordan,Y2004,5092185
Jordan,Y2005,5239417
Jordan,Y2006,5428896
Jordan,Y2007,5655856
Jordan,Y2008,5911202
Jordan,Y2009,6181307
Jordan,Y2010,6454554
Jordan,Y2011,6731151
Jordan,Y2012,7009444
Jordan,Y2013,7273799
Kazakhstan,Y1995,15549632
Kazakhstan,Y1996,15326132
Kazakhstan,Y1997,15085965
Kazakhstan,Y1998,14858241
Kazakhstan,Y1999,14679568
Kazakhstan,Y2000,14575644
Kazakhstan,Y2001,14559255
Kazakhstan,Y2002,14623188
Kazakhstan,Y2003,14747754
