AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BankName,BankFDICNumber,BankNCUANumber,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,Subprogram,InitialInterestRate,FixedOrVariableInterestInd,TermInMonths,NaicsCode,NaicsDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidInFullDate,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported,SoldSecMrktInd
12/31/2024,7A,Oscar S. Fields Inc.,10412 Design Road,Ashland,VA,23005,Select Bank,58563,None,211 Gristmill Dr,FOREST,VA,24551,250000,187500,2/28/2024,2024,3/8/2024,OTH 7A,Guaranty,9,V,120,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,NA,NA,HANOVER,VA,RICHMOND DISTRICT OFFICE,01,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,30,Y
12/31/2024,7A,ELIZABETH HENSON MEDIATOR LL,84 SPICE RIDGE RD,WAYNESVILLE,NC,28786,"Wells Fargo Bank, National Association",3511,None,101 N Philips Ave,SIOUX FALLS,SD,57104,15000,7500,2/28/2024,2024,8/29/2024,SBA Express,FA$TRK (Small Loan Express),14.5,V,120,541199,All Other Legal Services,NA,NA,HAYWOOD,NC,NORTH CAROLINA DISTRICT OFFICE,11,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,1,1,NA
12/31/2024,7A,Eastern Shore Primary Care & W,1505 S SALISBURY BLVD,SALISBURY,MD,21801,Manufacturers and Traders Trust Company,588,None,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,500000,375000,2/28/2024,2024,3/21/2024,PLP,Guaranty,9.75,V,120,621111,Offices of Physicians (except Mental Health Specialists),NA,NA,WICOMICO,MD,BALTIMORE DISTRICT OFFICE,01,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,13,NA
12/31/2024,7A,S&S RE Properties LLC,1630 CONNECTICUT AVE NW,WASHINGTON,DC,20009,Industrial Bank,14679,None,4812 Georgia Ave NW,WASHINGTON,DC,20011,60000,30000,2/28/2024,2024,5/1/2024,SBA Express,FA$TRK (Small Loan Express),10,V,120,722515,Snack and Nonalcoholic Beverage Bars,NA,NA,DISTRICT OF COLUMBIA,DC,WASHINGTON DISTRICT OFFICE,00,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,1,7,NA
12/31/2024,7A,Nolan Rose Enterprises Inc,3320 South Peak Drive,HOPE MILLS,NC,28348,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,4700000,3525000,2/28/2024,2024,3/28/2024,PLP,Guaranty,7.6,V,300,722513,Limited-Service Restaurants,S0449,Culver's ButterBurgers & Frozen Custard,CUMBERLAND,NC,NORTH CAROLINA DISTRICT OFFICE,08,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,90,NA
12/31/2024,7A,Richard G Lowe,320 LONDON LN,MOUNT AIRY,NC,27030,First Community Bank,13012,None,29 College Dr,BLUEFIELD,VA,24605,119000,59500,2/28/2024,2024,NA,SBA Express,FA$TRK (Small Loan Express),8.85,F,120,561730,Landscaping Services,NA,NA,SURRY,NC,NORTH CAROLINA DISTRICT OFFICE,10,INDIVIDUAL,Existing or more than 2 years old,CANCLD,NA,NA,0,0,0,NA
12/31/2024,7A,Nuel Express LLC,10560 MAIN ST #419,FAIRFAX,VA,22030,Bank of Hope,26610,None,3200 Wilshire Blvd 1st Fl,LOS ANGELES,CA,90010,250000,125000,2/29/2024,2024,3/6/2024,SBA Express,FA$TRK (Small Loan Express),11,V,60,488510,Freight Transportation Arrangement,NA,NA,FAIRFAX CITY,VA,WASHINGTON DISTRICT OFFICE,10,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,4,NA
12/31/2024,7A,Smitty Dog Enterprises Inc.,8121 A PINEY BRANCH RD,SILVER SPRING,MD,20910,"Capital Bank, National Association",35278,None,2275 Research Blvd Ste 600,ROCKVILLE,MD,20850,800000,600000,2/29/2024,2024,3/21/2024,OTH 7A,Standard Asset Based,11.25,V,36,444120,Paint and Wallpaper Stores,NA,NA,MONTGOMERY,MD,WASHINGTON DISTRICT OFFICE,08,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,1,58,NA
12/31/2024,7A,MANITECH SOLUTIONS,11310 White House Rd,Upper Marlboro,MD,20774,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,07922,17000,14450,8/14/2024,2024,9/1/2024,PLP,Guaranty,15,V,120,238320,Painting and Wall Covering Contractors,NA,NA,PRINCE GEORGES,MD,WASHINGTON DISTRICT OFFICE,04,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,5,Y
12/31/2024,7A,Burls LLC,18267 Morgarts Beach Rd,Smithfield,VA,23430,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,75000,63750,8/14/2024,2024,NA,PLP,Guaranty,11.5,V,120,532490,Other Commercial and Industrial Machinery and Equipment Rental and Lea,NA,NA,ISLE OF WIGHT,VA,RICHMOND DISTRICT OFFICE,03,CORPORATION,Existing or more than 2 years old,CANCLD,NA,NA,0,0,2,NA
12/31/2024,7A,Three Little Birds Inc.,3203 2nd Ave,Baltimore,MD,21234,Platinum Bank,58511,None,7667 10th St N,OAKDALE,MN,55128,143000,107250,8/14/2024,2024,9/11/2024,PLP,Guaranty,11.25,V,120,561499,All Other Business Support Services,S0124,Apex Fun Run,BALTIMORE,MD,BALTIMORE DISTRICT OFFICE,01,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,6,NA
12/31/2024,7A,Galaxy GSO Holding LLC,1705 Stanley Rd,Greensboro,NC,27407,GBank,58626,None,"9115 W Russell Rd, Ste 110",LAS VEGAS,NV,89148,4788000,3591000,8/14/2024,2024,8/23/2024,PLP,Guaranty,9.25,V,300,721110,Hotels (except Casino Hotels) and Motels,S6329,HomeTowne Studios by Red Roof/HomeTowne Inn/HomeTown Inn,GUILFORD,NC,NORTH CAROLINA DISTRICT OFFICE,06,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,14,Y
12/31/2024,7A,CAROLINA CURBING COMPANY INC.,P.O. BOX 265,SALISBURY,NC,28145,BayFirst National Bank,34997,None,700 Central Avenue,Saint Petersburg,FL,33701,150000,127500,6/15/2024,2024,7/12/2024,PLP,Guaranty,13.25,V,120,238910,Site Preparation Contractors,NA,NA,ROWAN,NC,NORTH CAROLINA DISTRICT OFFICE,13,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,0,Y
12/31/2024,7A,Kuhns Construction INC,27436 OAK MEADOW DR,MILLSBORO,DE,19966,Manufacturers and Traders Trust Company,588,None,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,50000,25000,7/9/2024,2024,10/31/2024,SBA Express,FA$TRK (Small Loan Express),15,V,120,236115,New Single-Family Housing Construction (except Operative Builders),NA,NA,SUSSEX,DE,DELAWARE DISTRICT OFFICE,00,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,1,1,NA
12/31/2024,7A,PBH Inc,6626 W Us Highway 421,Wilkesboro,NC,28697,First Community Bank,13012,None,29 College Dr,BLUEFIELD,VA,24605,679400,509550,7/9/2024,2024,7/9/2024,OTH 7A,Guaranty,4,F,120,488410,Motor Vehicle Towing,NA,NA,WILKES,NC,NORTH CAROLINA DISTRICT OFFICE,05,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,11,NA
12/31/2024,7A,David Le,4615 Stanton-Ogletown Road,NEWARK,DE,19713,Cadence Bank,11813,None,201 S Spring St,TUPELO,MS,38804,130000,110500,7/9/2024,2024,7/31/2024,PLP,Guaranty,11.25,V,120,812113,Nail Salons,NA,NA,NEW CASTLE,DE,DELAWARE DISTRICT OFFICE,00,INDIVIDUAL,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,2,NA
12/31/2024,7A,Crawford Brothers Restaurant,401 FENTON GATEWAY DR,CARY,NC,27511,Fifth Third Bank,6672,None,38 Fountain Sq Plz,CINCINNATI,OH,45263,2152000,1614000,7/9/2024,2024,8/20/2024,PLP,Guaranty,9,F,120,722511,Full-Service Restaurants,NA,NA,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,101,NA
12/31/2024,7A,Medworks Inc.,2140 Tomlynn Street,RICHMOND,VA,23230,"Bank of America, National Association",3510,None,"100 N Tryon St, Ste 170",CHARLOTTE,NC,28202,221400,110700,7/9/2024,2024,7/18/2024,SBA Express,FA$TRK (Small Loan Express),8.45,F,72,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesal",NA,NA,HENRICO,VA,RICHMOND DISTRICT OFFICE,03,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,3,NA
12/31/2024,7A,Henderson & Audiometrics Inc,330 Camden Causeway,Elizabeth City,NC,27909,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,300000,225000,7/9/2024,2024,8/19/2024,PLP,Guaranty,11.5,V,120,621999,All Other Miscellaneous Ambulatory Health Care Services,NA,NA,PASQUOTANK,NC,NORTH CAROLINA DISTRICT OFFICE,03,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,14,Y
12/31/2024,7A,Paulette M. White-Muhammad dba,102 Glendas Dr,Goldsboro,NC,27534,Exos Small Business Lending LLC,None,None,"12 East 49th Street, 11th Floo",New York,NY,10017,1190000,892500,7/9/2024,2024,7/15/2024,PLP,Guaranty,11,V,300,624410,Child Day Care Services,NA,NA,WAYNE,NC,NORTH CAROLINA DISTRICT OFFICE,01,INDIVIDUAL,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,20,Y
12/31/2024,7A,Bryan L Grimmer DDS,131 Elden St STE 101,HERNDON,VA,20170,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,07922,50000,42500,7/9/2024,2024,8/1/2024,PLP,Guaranty,15,V,120,621210,Offices of Dentists,NA,NA,FAIRFAX,VA,WASHINGTON DISTRICT OFFICE,10,INDIVIDUAL,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,0,Y
12/31/2024,7A,Clutch Motors LLC,1909 W Roosevelt Blvd,Monroe,NC,28110,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,125000,106250,7/9/2024,2024,NA,PLP,Guaranty,11.5,V,120,441120,Used Car Dealers,NA,NA,UNION,NC,NORTH CAROLINA DISTRICT OFFICE,09,CORPORATION,Existing or more than 2 years old,CANCLD,NA,NA,0,0,4,NA
12/31/2024,7A,SUPERIOR CONTRACTING LLC,3582 BROOKESIDE DR,CHESAPEAKE BEACH,MD,20732,Manufacturers and Traders Trust Company,588,None,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,10000,5000,7/9/2024,2024,9/30/2024,SBA Express,FA$TRK (Small Loan Express),15,V,120,236118,Residential Remodelers,NA,NA,CALVERT,MD,BALTIMORE DISTRICT OFFICE,05,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,1,2,NA
12/31/2024,7A,Inzeo Remediation LLC dba Bio-,6812 Green Crescent Ct,Greenbelt,MD,20770,"United Midwest Savings Bank, National Association",32441,None,101 S Main St,DE GRAFF,OH,43318,150000,127500,7/9/2024,2024,7/31/2024,PLP,Guaranty,11.25,V,120,562910,Remediation Services,S2617,Bio-One,PRINCE GEORGES,MD,WASHINGTON DISTRICT OFFICE,05,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,2,Y
12/31/2024,7A,Atlantis IT Consulting LLC,"3101 LIMESTONE RD, SUITE B-1",WILMINGTON,DE,19808,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,225000,112500,7/9/2024,2024,NA,SBA Express,FA$TRK (Small Loan Express),11.5,V,120,541690,Other Scientific and Technical Consulting Services,NA,NA,NEW CASTLE,DE,DELAWARE DISTRICT OFFICE,00,CORPORATION,Existing or more than 2 years old,COMMIT,NA,NA,0,1,0,NA
12/31/2024,7A,Borco,702 SUMMIT AVE,KINSTON,NC,28501,First Internet Bank of Indiana,34607,None,8701 E 116th St,FISHERS,IN,46038,4611000,3458250,7/9/2024,2024,8/9/2024,PLP,Guaranty,11.25,V,144,237110,Water and Sewer Line and Related Structures Construction,NA,NA,LENOIR,NC,NORTH CAROLINA DISTRICT OFFICE,03,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,0,12,Y
12/31/2024,7A,Chapel Hill Ice Cream LLC,630 Weaver Dairy Road,Chapel Hill,NC,27514,Carolina Small Business Development Fund,None,None,"3128 Highwoods Blvd., Suite 17",Raleigh,NC,27604,200000,150000,7/9/2024,2024,11/15/2024,OTH 7A,Guaranty,8.5,F,120,722515,Snack and Nonalcoholic Beverage Bars,NA,NA,ORANGE,NC,NORTH CAROLINA DISTRICT OFFICE,04,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,10,NA
12/31/2024,7A,Hourglass Body Contouring Spa,1803 Wadsworth Way,BALTIMORE,MD,21239,"Readycap Lending, LLC",None,None,200 Connell Drive,BERKELEY HEIGHTS,NJ,07922,50000,42500,7/9/2024,2024,8/1/2024,PLP,Guaranty,15,V,120,812199,Other Personal Care Services,NA,NA,BALTIMORE CITY,MD,BALTIMORE DISTRICT OFFICE,02,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,0,Y
12/31/2024,7A,Highland Infrastructure System,"128 Fast Lane, Suite 204",MOORESVILLE,NC,28117,"SouthState Bank, National Association",33555,None,1101 First St South,WINTER HAVEN,FL,33880,970000,727500,7/9/2024,2024,7/23/2024,PLP,Guaranty,10,V,120,237990,Other Heavy and Civil Engineering Construction,NA,NA,IREDELL,NC,NORTH CAROLINA DISTRICT OFFICE,10,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,6,NA
12/31/2024,7A,A-1 Building Maintenance LLC,5300 Banks Rose Way,RALEIGH,NC,27603,"SouthState Bank, National Association",33555,None,1101 First St South,WINTER HAVEN,FL,33880,100000,85000,7/9/2024,2024,7/17/2024,PLP,Guaranty,11.25,V,120,561720,Janitorial Services,NA,NA,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,0,Y
12/31/2024,7A,HERMAN'S HOAGIES INC.,1257 Georgia Road Suite G,FRANKLIN,NC,28734,"LendingClub Bank, National Association",32551,None,2701 N Thanksgiving Way,LEHI,UT,84043,457000,342750,4/23/2024,2024,NA,PLP,Guaranty,11,V,129,722513,Limited-Service Restaurants,S0639,Firehouse Subs,MACON,NC,NORTH CAROLINA DISTRICT OFFICE,11,CORPORATION,"Startup, Loan Funds will Open Business",CANCLD,NA,NA,0,0,20,NA
12/31/2024,7A,SUPERIOR VITALITY WELLNESS IN,14835 BALLANTYNE VILLAGE WAY,CHARLOTTE,NC,28277,The Huntington National Bank,6560,None,17 S High St.,COLUMBUS,OH,43215,594500,445875,4/23/2024,2024,5/28/2024,PLP,Guaranty,10.75,V,120,812199,Other Personal Care Services,S3000,Perspire Sauna Studio,MECKLENBURG,NC,NORTH CAROLINA DISTRICT OFFICE,09,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,18,NA
12/31/2024,7A,WAGNER AND SONS INC,22365 ALYDAR LN,LEXINGTON PARK,MD,20653,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,50000,25000,4/23/2024,2024,4/30/2024,SBA Express,FA$TRK (Small Loan Express),15,V,120,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,NA,NA,SAINT MARYS,MD,BALTIMORE DISTRICT OFFICE,05,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,1,NA
12/31/2024,7A,WHITNEY BLAIR CUSTOM HOMES LLC,7269 Beach Dr. SW,OCEAN ISLE BEACH,NC,28469,Bank of Oak Ridge,35365,None,2211 Oak Ridge Rd,OAK RIDGE,NC,27310,150000,75000,4/23/2024,2024,NA,SBA Express,FA$TRK (Small Loan Express),9.75,V,120,236115,New Single-Family Housing Construction (except Operative Builders),NA,NA,BRUNSWICK,NC,NORTH CAROLINA DISTRICT OFFICE,07,CORPORATION,Change of Ownership,COMMIT,NA,NA,0,1,12,NA
12/31/2024,7A,Flavor Cupcakery,2118 Glen Cove Rd.,DARLINGTON,MD,21034,First Chatham Bank,57252,None,111 Barnard St,SAVANNAH,GA,31401,426000,319500,4/23/2024,2024,4/30/2024,PLP,Guaranty,11.25,V,120,445291,Baked Goods Stores,NA,NA,HARFORD,MD,BALTIMORE DISTRICT OFFICE,01,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,20,Y
12/31/2024,7A,WHITNEY BLAIR CUSTOM HOMES LLC,7269 Beach Dr. SW,OCEAN ISLE BEACH,NC,28469,Bank of Oak Ridge,35365,None,2211 Oak Ridge Rd,OAK RIDGE,NC,27310,2829000,2121750,4/23/2024,2024,4/25/2024,PLP,Guaranty,9.75,V,120,236115,New Single-Family Housing Construction (except Operative Builders),NA,NA,BRUNSWICK,NC,NORTH CAROLINA DISTRICT OFFICE,07,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,12,NA
12/31/2024,7A,TWIGS SALES INC,149 151 Main Street,YOUNGSVILLE,NC,27596,The Fidelity Bank,11507,None,100 S Main St,FUQUAY VARINA,NC,27526,192500,144375,4/23/2024,2024,5/15/2024,PLP,Guaranty,11.25,V,120,238330,Flooring Contractors,NA,NA,FRANKLIN,NC,NORTH CAROLINA DISTRICT OFFICE,04,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,3,Y
12/31/2024,7A,AXON IV CHILDCARE LLC,408 Attain St.,FUQUAY VARINA,NC,27526,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,386000,289500,4/23/2024,2024,5/17/2024,PLP,Guaranty,6.87,F,120,624410,Child Day Care Services,S1353,Primrose Schools,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,37,NA
12/31/2024,7A,Kalfas Property Solutions LLC,18 King Henry Circle,ROSEDALE,MD,21237,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,60000,30000,4/23/2024,2024,5/8/2024,SBA Express,FA$TRK (Small Loan Express),10.5,F,48,561730,Landscaping Services,NA,NA,BALTIMORE,MD,BALTIMORE DISTRICT OFFICE,02,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,5,NA
12/31/2024,7A,R M Buildings Inc,37 Hall Street,JANE LEW,WV,26378,The Harrison County Bank,9030,None,80 E Main St,LOST CREEK,WV,26385,100800,50400,12/28/2023,2024,1/2/2024,SBA Express,FA$TRK (Small Loan Express),9.5,F,60,236220,Commercial and Institutional Building Construction,NA,NA,LEWIS,WV,WEST VIRGINIA DISTRICT OFFICE,01,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,9,NA
12/31/2024,7A,JSC TRUCKING LLC,5970 Paul Payne Store Rd,TAYLORSVILLE,NC,28681,First Community Bank,13012,None,29 College Dr,BLUEFIELD,VA,24605,73800,36900,12/28/2023,2024,1/4/2024,SBA Express,FA$TRK (Small Loan Express),7,F,60,484121,"General Freight Trucking, Long Distance, Truckload",NA,NA,ALEXANDER,NC,NORTH CAROLINA DISTRICT OFFICE,05,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,1,NA
12/31/2024,7A,A Mother's Prayer LLC,1915 GAITHER ST,TEMPLE HILLS,MD,20748,Manufacturers and Traders Trust Company,588,None,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,90000,45000,12/28/2023,2024,1/17/2024,SBA Express,FA$TRK (Small Loan Express),11.5,V,60,624410,Child Day Care Services,NA,NA,PRINCE GEORGES,MD,WASHINGTON DISTRICT OFFICE,04,INDIVIDUAL,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,3,NA
12/31/2024,7A,N Zone Sports All American,184 Kimbrough Dr,lillington,NC,27546,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,125000,106250,12/28/2023,2024,NA,PLP,Guaranty,11.5,V,120,713990,All Other Amusement and Recreation Industries,NA,NA,HARNETT,NC,NORTH CAROLINA DISTRICT OFFICE,07,CORPORATION,"Startup, Loan Funds will Open Business",CANCLD,NA,NA,0,0,24,NA
12/31/2024,7A,JALEX COMMUNICATIONS LLC,1300 MERCANTILE LN STE 100A,LARGO,MD,20774,"Wells Fargo Bank, National Association",3511,None,101 N Philips Ave,SIOUX FALLS,SD,57104,25000,12500,12/28/2023,2024,2/27/2024,SBA Express,FA$TRK (Small Loan Express),13,V,120,335921,Fiber Optic Cable Manufacturing,NA,NA,PRINCE GEORGES,MD,WASHINGTON DISTRICT OFFICE,04,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,1,2,NA
12/31/2024,7A,BRIGHT MIND DAYCARE LLC,322 N ALFRED ST,ALEXANDRIA,VA,22314,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,250000,125000,12/28/2023,2024,1/22/2024,SBA Express,FA$TRK (Small Loan Express),11.5,V,120,624410,Child Day Care Services,NA,NA,ALEXANDRIA CITY,VA,WASHINGTON DISTRICT OFFICE,08,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,1,2,NA
12/31/2024,7A,CommerceCX Inc,150 Cornerstone Dr,CARY,NC,27513,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,525000,393750,12/28/2023,2024,1/11/2024,PLP,Guaranty,11.5,V,120,541512,Computer Systems Design Services,NA,NA,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,25,Y
12/31/2024,7A,R2DTS LLC,18271 CHESTNUT GROVE CT,PURCELLVILLE,VA,20132,Bank of Charles Town,9023,None,111 E Washington St,CHARLES TOWN,WV,25414,100000,85000,12/28/2023,2024,1/29/2024,PLP,Guaranty,10.5,V,120,561311,Employment Placement Agencies,NA,NA,LOUDOUN,VA,WASHINGTON DISTRICT OFFICE,10,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,0,10,Y
12/31/2024,7A,FISHER ELECTRICAL SERVICES LLC,26 RETREAT PL,WEAVERVILLE,NC,28787,"Wells Fargo Bank, National Association",3511,None,101 N Philips Ave,SIOUX FALLS,SD,57104,30000,15000,12/28/2023,2024,NA,SBA Express,FA$TRK (Small Loan Express),14,V,120,238210,Electrical Contractors,NA,NA,BUNCOMBE,NC,NORTH CAROLINA DISTRICT OFFICE,11,CORPORATION,New Business or 2 years or less,COMMIT,NA,NA,0,1,1,NA
12/31/2024,7A,MORTON 8TH ST PHARMACY LLC,724 EAST CAPITOL ST NE,WASHINGTON,DC,20003,"TD Bank, National Association",18409,None,2035 Limestone Rd,WILMINGTON,DE,19808,80000,40000,12/28/2023,2024,1/16/2024,SBA Express,FA$TRK (Small Loan Express),11.5,V,120,446110,Pharmacies and Drug Stores,NA,NA,DISTRICT OF COLUMBIA,DC,WASHINGTON DISTRICT OFFICE,00,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,1,2,NA
12/31/2024,7A,POLYBIUS DESIGN LLC,1012 INVESTMENT BLVD,APEX,NC,27502,"PNC Bank, National Association",6384,None,222 Delaware Ave,WILMINGTON,DE,19801,325000,243750,12/28/2023,2024,1/19/2024,PLP,Guaranty,9.53,F,120,323113,Commercial Screen Printing,NA,NA,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,Change of Ownership,EXEMPT,NA,NA,0,0,11,NA
12/31/2024,7A,Redstart Foods,1910 Glendale Ave,Durham,NC,27701,"Newtek Bank, National Association",18734,None,"1111 Brickell Ave, Ste 135",Miami,FL,33131,250000,187500,12/28/2023,2024,1/10/2024,PLP,Guaranty,11.5,V,120,722320,Caterers,NA,NA,DURHAM,NC,NORTH CAROLINA DISTRICT OFFICE,04,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,17,Y
12/31/2024,7A,Echo Enterprises LLC,1 ANDERSON HWY,POWHATAN,VA,23139,BayFirst National Bank,34997,None,700 Central Avenue,Saint Petersburg,FL,33701,68700,58395,12/28/2023,2024,NA,PLP,Guaranty,13.25,V,120,236118,Residential Remodelers,NA,NA,CUMBERLAND,VA,RICHMOND DISTRICT OFFICE,04,CORPORATION,Existing or more than 2 years old,COMMIT,NA,NA,0,0,3,NA
12/31/2024,7A,AliHawa Holdings LLC dba Maid,253 Roaring Creek Dr,Garner,NC,27529,"United Midwest Savings Bank, National Association",32441,None,101 S Main St,DE GRAFF,OH,43318,150000,127500,12/28/2023,2024,1/16/2024,PLP,Guaranty,11.25,V,120,561720,Janitorial Services,S1068,Maid Brigade,WAKE,NC,NORTH CAROLINA DISTRICT OFFICE,02,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,NA,NA,0,0,4,Y
12/31/2024,7A,BRAT BEATZ LLC,1911 EDGEWATER DR,EDGEWOOD,MD,21040,Manufacturers and Traders Trust Company,588,None,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,35000,17500,12/28/2023,2024,NA,SBA Express,FA$TRK (Small Loan Express),9.99,F,60,812112,Beauty Salons,NA,NA,HARFORD,MD,BALTIMORE DISTRICT OFFICE,01,CORPORATION,New Business or 2 years or less,CANCLD,NA,NA,0,0,2,NA
12/31/2024,7A,Garneski Air Conditioning & He,45915 MARIES RD,STERLING,VA,20166,"Heritage Bank, Inc.",33119,None,1818 Florence,Burlington,KY,41005,150000,127500,12/28/2023,2024,1/4/2024,PLP,Guaranty,12.25,V,111,238220,"Plumbing, Heating, and Air-Conditioning Contractors",NA,NA,LOUDOUN,VA,WASHINGTON DISTRICT OFFICE,10,CORPORATION,Existing or more than 2 years old,EXEMPT,NA,NA,0,0,13,Y
12/31/2024,7A,R2DTS LLC,18271 CHESTNUT GROVE CT,PURCELLVILLE,VA,20132,Bank of Charles Town,9023,None,111 E Washington St,CHARLES TOWN,WV,25414,150000,75000,12/28/2023,2024,1/29/2024,SBA Express,FA$TRK (Small Loan Express),10.5,V,120,561311,Employment Placement Agencies,NA,NA,LOUDOUN,VA,WASHINGTON DISTRICT OFFICE,10,CORPORATION,New Business or 2 years or less,EXEMPT,NA,NA,0,1,10,NA
12/31/2024,7A,Playful Pastures Pet Boarding,978 Brookneal Hwy,Rustburg,VA,24588,Central Virginia FCU,None,22307,1638 Mt Athos Rd,LYNCHBURG,VA,24504,60000,51000,12/28/2023,2024,NA,OTH 7A,Guaranty,9.5,F,120,812910,Pet Care (except Veterinary) Services,NA,NA,CAMPBELL,VA,RICHMOND DISTRICT OFFICE,05,CORPORATION,"Startup, Loan Funds will Open Business",COMMIT,NA,NA,0,0,4,NA
